00:50:C2:03:20/36,MotionIO    ,MotionIO
00:50:C2:03:30/36,DobleEnginee,Doble Engineering
00:50:C2:03:40/36,IngBueroWKan,Ing. Buero W. Kanis GmbH
00:50:C2:03:50/36,AlliantTechs,"Alliant Techsystems, Inc."
00:50:C2:03:60/36,ArcturusNetw,Arcturus Networks Inc.
00:50:C2:03:70/36,EISM        ,E.I.S.M.
00:50:C2:03:80/36,EtheiraTechn,Etheira Technologies
00:50:C2:03:90/36,ApexSignal  ,Apex Signal Corp
00:50:C2:03:A0/36,PLLBElettron,PLLB Elettronica SPA
00:50:C2:03:B0/36,VNRElectroni,VNR Electronique SA
00:50:C2:03:C0/36,BrainBoxes  ,BrainBoxes Ltd
00:50:C2:03:D0/36,ISDNGatewayT,ISDN Gateway Technology AG
00:50:C2:03:E0/36,MSUUK       ,MSU UK Ltd
00:50:C2:03:F0/36,Celotek     ,Celotek Corp
00:50:C2:04:00/36,MiSPO       ,"MiSPO Co., Ltd."
00:50:C2:04:10/36,DamlerChrysl,Damler Chrysler Rail System (Signal) AB
00:50:C2:04:20/36,BEARSolution,"B.E.A.R. Solutions (Australasia) Pty, Ltd"
00:50:C2:04:30/36,Curtis      ,"Curtis, Inc."
00:50:C2:04:40/36,Private     ,Private
00:50:C2:04:50/36,ChaseManhatt,Chase Manhattan Bank
00:50:C2:04:60/36,Private     ,Private
00:50:C2:04:70/36,BRElectronic,B. R. Electronics
00:50:C2:04:80/36,Cybectec    ,Cybectec Inc.
00:50:C2:04:90/36,ComputerConc,Computer Concepts Corp
00:50:C2:04:A0/36,TelecomAnaly,"Telecom Analysis Systems, LP"
00:50:C2:04:B0/36,TecstarDemoD,Tecstar Demo Systems Division
00:50:C2:04:C0/36,NewStandardE,New Standard Engineering NV
00:50:C2:04:E0/36,IndustrialEl,"Industrial Electronic Engineers, Inc."
00:50:C2:04:F0/36,Luma        ,Luma Corporation
00:50:C2:05:00/36,Dataprobe   ,"Dataprobe, Inc."
00:50:C2:05:10/36,JSRUltrasoni,JSR Ultrasonics
00:50:C2:05:20/36,MayoFoundati,Mayo Foundation
00:50:C2:05:40/36,Optionexist ,Optionexist Limited
00:50:C2:05:50/36,SanCastleTec,"San Castle Technologies, Inc."
00:50:C2:05:60/36,Base2       ,Base 2
00:50:C2:05:70/36,LiteF       ,Lite F GmBH
00:50:C2:05:80/36,VisionResear,"Vision Research, Inc."
00:50:C2:05:90/36,AustcoMarket,Austco Marketing & Service (USA) ltd.
00:50:C2:05:A0/36,Sonifex     ,Sonifex Ltd
00:50:C2:05:B0/36,RadiometerMe,Radiometer Medical A/S
00:50:C2:05:C0/36,NortelNetwor,Nortel Networks PLC (UK)
00:50:C2:05:D0/36,IgnitusCommu,"Ignitus Communications, LLC"
00:50:C2:05:E0/36,DIVA        ,DIVA Systems
00:50:C2:05:F0/36,MaldenElectr,Malden Electronics Ltd
00:50:C2:06:00/36,Private     ,Private
00:50:C2:06:10/36,SimpleNetwor,Simple Network Magic Corporation
00:50:C2:06:20/36,Private     ,Private
00:50:C2:06:30/36,Ticketmaster,Ticketmaster Corp
00:50:C2:06:40/36,Private     ,Private
00:50:C2:06:50/36,CleverDevice,Clever Devices
00:50:C2:06:60/36,Private     ,Private
00:50:C2:06:70/36,RiverlinkCom,"Riverlink Computers, Ltd."
00:50:C2:06:80/36,Seabridge   ,Seabridge
00:50:C2:06:90/36,ECElettronic,EC Elettronica S.R.L.
00:50:C2:06:A0/36,Unimark     ,Unimark
